time,temperature,humidity,precipitation,wind_speed,city,country,latitude,longitude,timezone,fetched_at
2026-04-12 07:00:00,4.3,59.0,0.0,3.8,New York,United States,40.710335,-73.99308,America/New_York,2026-04-14T16:51:44.705446+00:00
2026-04-12 08:00:00,7.0,50.0,0.0,8.9,New York,United States,40.710335,-73.99308,America/New_York,2026-04-14T16:51:44.705446+00:00
2026-04-12 09:00:00,9.2,43.0,0.0,11.8,New York,United States,40.710335,-73.99308,America/New_York,2026-04-14T16:51:44.705446+00:00
2026-04-12 10:00:00,10.8,43.0,0.0,9.0,New York,United States,40.710335,-73.99308,America/New_York,2026-04-14T16:51:44.705446+00:00
2026-04-12 11:00:00,11.4,44.0,0.0,17.3,New York,United States,40.710335,-73.99308,America/New_York,2026-04-14T16:51:44.705446+00:00
2026-04-12 12:00:00,11.6,43.0,0.0,20.4,New York,United States,40.710335,-73.99308,America/New_York,2026-04-14T16:51:44.705446+00:00
2026-04-12 13:00:00,12.0,46.0,0.0,19.5,New York,United States,40.710335,-73.99308,America/New_York,2026-04-14T16:51:44.705446+00:00
2026-04-12 14:00:00,12.3,44.0,0.0,21.6,New York,United States,40.710335,-73.99308,America/New_York,2026-04-14T16:51:44.705446+00:00
2026-04-12 15:00:00,12.0,41.0,0.0,21.0,New York,United States,40.710335,-73.99308,America/New_York,2026-04-14T16:51:44.705446+00:00
2026-04-12 16:00:00,11.5,42.0,0.0,21.9,New York,United States,40.710335,-73.99308,America/New_York,2026-04-14T16:51:44.705446+00:00
2026-04-12 17:00:00,10.9,51.0,0.0,20.4,New York,United States,40.710335,-73.99308,America/New_York,2026-04-14T16:51:44.705446+00:00
2026-04-12 18:00:00,9.4,62.0,0.0,19.9,New York,United States,40.710335,-73.99308,America/New_York,2026-04-14T16:51:44.705446+00:00
2026-04-12 19:00:00,8.5,73.0,0.0,17.3,New York,United States,40.710335,-73.99308,America/New_York,2026-04-14T16:51:44.705446+00:00
2026-04-12 20:00:00,7.9,76.0,0.0,16.6,New York,United States,40.710335,-73.99308,America/New_York,2026-04-14T16:51:44.705446+00:00
2026-04-12 21:00:00,8.1,79.0,0.0,13.0,New York,United States,40.710335,-73.99308,America/New_York,2026-04-14T16:51:44.705446+00:00
2026-04-12 22:00:00,8.5,77.0,0.0,12.1,New York,United States,40.710335,-73.99308,America/New_York,2026-04-14T16:51:44.705446+00:00
2026-04-12 23:00:00,8.2,77.0,0.0,8.9,New York,United States,40.710335,-73.99308,America/New_York,2026-04-14T16:51:44.705446+00:00
2026-04-13 00:00:00,7.8,81.0,0.0,7.6,New York,United States,40.710335,-73.99308,America/New_York,2026-04-14T16:51:44.705446+00:00
2026-04-13 01:00:00,8.4,78.0,0.0,4.6,New York,United States,40.710335,-73.99308,America/New_York,2026-04-14T16:51:44.705446+00:00
2026-04-13 02:00:00,9.5,74.0,0.0,6.6,New York,United States,40.710335,-73.99308,America/New_York,2026-04-14T16:51:44.705446+00:00
2026-04-13 03:00:00,9.2,80.0,0.0,6.0,New York,United States,40.710335,-73.99308,America/New_York,2026-04-14T16:51:44.705446+00:00
2026-04-13 04:00:00,9.7,81.0,0.0,5.6,New York,United States,40.710335,-73.99308,America/New_York,2026-04-14T16:51:44.705446+00:00
2026-04-13 05:00:00,9.0,82.0,0.0,3.9,New York,United States,40.710335,-73.99308,America/New_York,2026-04-14T16:51:44.705446+00:00
2026-04-13 06:00:00,9.3,89.0,0.0,4.3,New York,United States,40.710335,-73.99308,America/New_York,2026-04-14T16:51:44.705446+00:00
2026-04-13 07:00:00,10.2,89.0,0.0,1.8,New York,United States,40.710335,-73.99308,America/New_York,2026-04-14T16:51:44.705446+00:00
2026-04-13 08:00:00,11.0,85.0,0.0,2.4,New York,United States,40.710335,-73.99308,America/New_York,2026-04-14T16:51:44.705446+00:00
2026-04-13 09:00:00,12.0,82.0,0.0,5.8,New York,United States,40.710335,-73.99308,America/New_York,2026-04-14T16:51:44.705446+00:00
2026-04-13 10:00:00,13.1,84.0,0.0,11.5,New York,United States,40.710335,-73.99308,America/New_York,2026-04-14T16:51:44.705446+00:00
2026-04-13 11:00:00,16.1,80.0,0.0,14.0,New York,United States,40.710335,-73.99308,America/New_York,2026-04-14T16:51:44.705446+00:00
2026-04-13 12:00:00,20.0,72.0,0.0,13.2,New York,United States,40.710335,-73.99308,America/New_York,2026-04-14T16:51:44.705446+00:00
2026-04-13 13:00:00,23.0,59.0,0.0,17.4,New York,United States,40.710335,-73.99308,America/New_York,2026-04-14T16:51:44.705446+00:00
2026-04-13 14:00:00,22.3,64.0,0.0,16.1,New York,United States,40.710335,-73.99308,America/New_York,2026-04-14T16:51:44.705446+00:00
2026-04-13 15:00:00,22.9,58.0,0.0,20.4,New York,United States,40.710335,-73.99308,America/New_York,2026-04-14T16:51:44.705446+00:00
2026-04-13 16:00:00,25.8,49.0,0.0,26.2,New York,United States,40.710335,-73.99308,America/New_York,2026-04-14T16:51:44.705446+00:00
2026-04-13 17:00:00,26.2,44.0,0.0,28.9,New York,United States,40.710335,-73.99308,America/New_York,2026-04-14T16:51:44.705446+00:00
2026-04-13 18:00:00,26.9,41.0,0.0,25.2,New York,United States,40.710335,-73.99308,America/New_York,2026-04-14T16:51:44.705446+00:00
2026-04-13 19:00:00,26.1,40.0,0.0,23.2,New York,United States,40.710335,-73.99308,America/New_York,2026-04-14T16:51:44.705446+00:00
2026-04-13 20:00:00,23.9,44.0,0.0,20.4,New York,United States,40.710335,-73.99308,America/New_York,2026-04-14T16:51:44.705446+00:00
2026-04-13 21:00:00,23.1,45.0,0.0,19.4,New York,United States,40.710335,-73.99308,America/New_York,2026-04-14T16:51:44.705446+00:00
2026-04-13 22:00:00,23.1,44.0,0.0,16.7,New York,United States,40.710335,-73.99308,America/New_York,2026-04-14T16:51:44.705446+00:00
2026-04-13 23:00:00,22.2,45.0,0.0,12.8,New York,United States,40.710335,-73.99308,America/New_York,2026-04-14T16:51:44.705446+00:00
